Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-110.0,180.0,bottom
C1,100.2,-89.6,270.0,bottom
C2,106.6,-89.6,270.0,bottom
C3,90.0,-104.0,180.0,top
C4,100.0,-114.0,180.0,top
C5,110.0,-104.0,180.0,top
C6,87.0,-97.0,90.0,bottom
D1,110.0,-106.0,0.0,top
D2,100.0,-116.0,0.0,top
D3,90.0,-106.0,0.0,top
J1,100.0,-81.91,180.0,bottom
J2,90.0,-86.0,0.0,bottom
R1,93.0,-85.0,270.0,bottom
R2,107.0,-85.0,270.0,bottom
R3,90.0,-92.4,180.0,bottom
R4,94.6,-97.0,270.0,bottom
SW1,100.0,-91.975,0.0,top
SW2,110.0,-86.0,90.0,bottom
U1,91.0,-97.0,90.0,bottom
U2,101.9125,-91.67,270.0,bottom
